Contigs	Prediction_software	type	start	end	bitscore	strand	\ 	Information	COVERAGE
2112_AS_042zhAM	Prodigal:002006	CDS	76	2685	.	+	0	ID=JHFGFCBP_00001;db_xref=COG:COG0419;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:Q58718;locus_tag=JHFGFCBP_00001;product=DNA double-strand break repair Rad50 ATPase	117.5015335
2112_AS_042zhAM	Prodigal:002006	CDS	2833	3006	.	+	0	ID=JHFGFCBP_00002;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00002;product=hypothetical protein	180.5114899
2112_AS_042zhAM	Prodigal:002006	CDS	3233	4648	.	-	0	ID=JHFGFCBP_00003;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00003;product=hypothetical protein	102.782486
2112_AS_042zhAM	Prodigal:002006	CDS	5258	6442	.	-	0	ID=JHFGFCBP_00004;eC_number=1.3.7.11;db_xref=COG:COG0644;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:O29786;locus_tag=JHFGFCBP_00004;product=Digeranylgeranylglycerophospholipid reductase	115.4430389
2112_AS_042zhAM	Prodigal:002006	CDS	6430	6825	.	-	0	ID=JHFGFCBP_00005;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00005;product=hypothetical protein	127.1010132
2112_AS_042zhAM	Prodigal:002006	CDS	6932	7783	.	+	0	ID=JHFGFCBP_00006;Name=ku;gene=ku;inference=ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_01875;locus_tag=JHFGFCBP_00006;product=Non-homologous end joining protein Ku	122.0046921
2112_AS_042zhAM	Prodigal:002006	CDS	7780	8727	.	+	0	ID=JHFGFCBP_00007;eC_number=6.5.1.6;Name=lig_1;gene=lig_1;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:Q9HH07;locus_tag=JHFGFCBP_00007;product=DNA ligase	100.6856537
2112_AS_042zhAM	Prodigal:002006	CDS	9099	9500	.	-	0	ID=JHFGFCBP_00008;Name=rps6e;db_xref=COG:COG2125;gene=rps6e;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P21509;locus_tag=JHFGFCBP_00008;product=30S ribosomal protein S6e	122.5820923
2112_AS_042zhAM	Prodigal:002006	CDS	9596	10594	.	-	0	ID=JHFGFCBP_00009;Name=nrpRI;db_xref=COG:COG1693;gene=nrpRI;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:Q8PXY1;locus_tag=JHFGFCBP_00009;product=Global nitrogen regulator NrpRI	129.4824829
2112_AS_042zhAM	Aragorn:001002	tRNA	10699	10772	.	+	.	ID=JHFGFCBP_00010;inference=COORDINATES:profile:Aragorn:001002;locus_tag=JHFGFCBP_00010;product=tRNA-Gln(ttg)	111.8648682
2112_AS_042zhAM	Aragorn:001002	tRNA	10865	10941	.	+	.	ID=JHFGFCBP_00011;inference=COORDINATES:profile:Aragorn:001002;locus_tag=JHFGFCBP_00011;product=tRNA-Glu(ttc)	133.3116913
3700_AS_042zhAM	Prodigal:002006	CDS	7	138	.	+	0	ID=JHFGFCBP_00012;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00012;product=hypothetical protein	26
3700_AS_042zhAM	Prodigal:002006	CDS	211	1194	.	-	0	ID=JHFGFCBP_00013;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00013;product=hypothetical protein	143.9654541
3700_AS_042zhAM	Prodigal:002006	CDS	1373	2158	.	-	0	ID=JHFGFCBP_00014;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00014;product=hypothetical protein	114.7748108
3700_AS_042zhAM	Prodigal:002006	CDS	2709	2921	.	-	0	ID=JHFGFCBP_00015;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00015;product=hypothetical protein	108.8356781
3700_AS_042zhAM	Prodigal:002006	CDS	3112	4689	.	-	0	ID=JHFGFCBP_00016;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00016;product=hypothetical protein	138.3662872
4110_AS_042zhAM	Prodigal:002006	CDS	839	1138	.	-	0	ID=JHFGFCBP_00017;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00017;product=hypothetical protein	125.6966629
4110_AS_042zhAM	Prodigal:002006	CDS	1470	2258	.	+	0	ID=JHFGFCBP_00018;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00018;product=hypothetical protein	146.0481567
4110_AS_042zhAM	Prodigal:002006	CDS	2283	3443	.	-	0	ID=JHFGFCBP_00019;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00019;product=hypothetical protein	126.7002563
4110_AS_042zhAM	Prodigal:002006	CDS	3465	4649	.	-	0	ID=JHFGFCBP_00020;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00020;product=hypothetical protein	116.8582306
4110_AS_042zhAM	Prodigal:002006	CDS	4759	5424	.	+	0	ID=JHFGFCBP_00021;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00021;product=hypothetical protein	146.5465393
4110_AS_042zhAM	Prodigal:002006	CDS	5463	6458	.	-	0	ID=JHFGFCBP_00022;Name=moaA_1;gene=moaA_1;inference=ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_01225_B;locus_tag=JHFGFCBP_00022;product=GTP 3'%2C8-cyclase	127.1255035
4110_AS_042zhAM	Prodigal:002006	CDS	6467	10174	.	-	0	ID=JHFGFCBP_00023;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00023;product=hypothetical protein	121.9026413
